opt_useAddressPrecalc,opt_vectorize,simd_avoidUnaligned,data_alignFieldPointers,opt_unroll_interleave,opt_unroll,no_explorationId,explorationId,poly_tileSize_x,poly_tileSize_y,poly_tileSize_z,<$compile-performance
0,0,0,0,0,1,1,0,0,0,0,1599
0,0,0,0,0,2,1,0,0,0,0,1631
0,0,0,0,0,3,1,0,0,0,0,1640.2
0,0,0,0,0,4,1,0,0,0,0,1634
0,0,0,0,0,1,0,1,0,0,0,2952.6
0,0,0,0,0,2,0,1,0,0,0,5012.4
0,0,0,0,0,3,0,1,0,0,0,4549.6
0,0,0,0,0,4,0,1,0,0,0,5008.8
0,0,0,0,0,1,0,2,0,0,0,2926.2
0,0,0,0,0,2,0,2,0,0,0,4978.2
0,0,0,0,0,3,0,2,0,0,0,4537.8
0,0,0,0,0,4,0,2,0,0,0,4976.8
0,0,0,0,0,1,0,3,0,0,0,2857.8
0,0,0,0,0,2,0,3,0,0,0,4864.4
0,0,0,0,0,3,0,3,0,0,0,4289.6
0,0,0,0,0,4,0,3,0,0,0,4704.2
0,0,0,0,0,1,0,4,0,0,0,2864.2
0,0,0,0,0,2,0,4,0,0,0,4831.2
0,0,0,0,0,3,0,4,0,0,0,4295
0,0,0,0,0,4,0,4,0,0,0,4660.2
0,0,0,0,0,1,0,1,8,0,0,3065.6
0,0,0,0,0,2,0,1,8,0,0,5642.8
0,0,0,0,0,3,0,1,8,0,0,5060.8
0,0,0,0,0,4,0,1,8,0,0,5522
0,0,0,0,0,1,0,2,8,0,0,3003.4
0,0,0,0,0,2,0,2,8,0,0,5517
0,0,0,0,0,3,0,2,8,0,0,4930.8
0,0,0,0,0,4,0,2,8,0,0,5399
0,0,0,0,0,1,0,3,8,0,0,2945.2
0,0,0,0,0,2,0,3,8,0,0,5379.6
0,0,0,0,0,3,0,3,8,0,0,4715.6
0,0,0,0,0,4,0,3,8,0,0,5119.4
0,0,0,0,0,1,0,4,8,0,0,2925.4
0,0,0,0,0,2,0,4,8,0,0,5251.4
0,0,0,0,0,3,0,4,8,0,0,4639.6
0,0,0,0,0,4,0,4,8,0,0,5043.6
0,0,0,0,0,1,0,1,10,0,0,3046.2
0,0,0,0,0,2,0,1,10,0,0,5526
0,0,0,0,0,3,0,1,10,0,0,4980.6
0,0,0,0,0,4,0,1,10,0,0,5427.4
0,0,0,0,0,1,0,2,10,0,0,2993.6
0,0,0,0,0,2,0,2,10,0,0,5540.4
0,0,0,0,0,3,0,2,10,0,0,4931.2
0,0,0,0,0,4,0,2,10,0,0,5427.2
0,0,0,0,0,1,0,3,10,0,0,2969.4
0,0,0,0,0,2,0,3,10,0,0,5372.4
0,0,0,0,0,3,0,3,10,0,0,4789.8
0,0,0,0,0,4,0,3,10,0,0,5169.6
0,0,0,0,0,1,0,4,10,0,0,2908
0,0,0,0,0,2,0,4,10,0,0,5299.8
0,0,0,0,0,3,0,4,10,0,0,4704.8
0,0,0,0,0,4,0,4,10,0,0,5092.2
0,0,0,0,0,1,0,1,16,0,0,3051.8
0,0,0,0,0,2,0,1,16,0,0,5539.2
0,0,0,0,0,3,0,1,16,0,0,4964
0,0,0,0,0,4,0,1,16,0,0,5422
0,0,0,0,0,1,0,2,16,0,0,2982.6
0,0,0,0,0,2,0,2,16,0,0,5413.2
0,0,0,0,0,3,0,2,16,0,0,4849.8
0,0,0,0,0,4,0,2,16,0,0,5308.8
0,0,0,0,0,1,0,3,16,0,0,2948.4
0,0,0,0,0,2,0,3,16,0,0,5386
0,0,0,0,0,3,0,3,16,0,0,4744.8
0,0,0,0,0,4,0,3,16,0,0,5166.8
0,0,0,0,0,1,0,4,16,0,0,2889
0,0,0,0,0,2,0,4,16,0,0,5285
0,0,0,0,0,3,0,4,16,0,0,4688.6
0,0,0,0,0,4,0,4,16,0,0,5061.6
0,0,0,0,0,1,0,1,20,0,0,3058
0,0,0,0,0,2,0,1,20,0,0,5609.8
0,0,0,0,0,3,0,1,20,0,0,5046.8
0,0,0,0,0,4,0,1,20,0,0,5503.4
0,0,0,0,0,1,0,2,20,0,0,3006.8
0,0,0,0,0,2,0,2,20,0,0,5512.4
0,0,0,0,0,3,0,2,20,0,0,4940.2
0,0,0,0,0,4,0,2,20,0,0,5428.2
0,0,0,0,0,1,0,3,20,0,0,2950.8
0,0,0,0,0,2,0,3,20,0,0,5285.4
0,0,0,0,0,3,0,3,20,0,0,4706.2
0,0,0,0,0,4,0,3,20,0,0,5064.4
0,0,0,0,0,1,0,4,20,0,0,2920.4
0,0,0,0,0,2,0,4,20,0,0,5333.4
0,0,0,0,0,3,0,4,20,0,0,4712
0,0,0,0,0,4,0,4,20,0,0,5108.8
0,0,0,0,0,1,0,1,32,0,0,3060.8
0,0,0,0,0,2,0,1,32,0,0,5555.4
0,0,0,0,0,3,0,1,32,0,0,4988.6
0,0,0,0,0,4,0,1,32,0,0,5449
0,0,0,0,0,1,0,2,32,0,0,2984.2
0,0,0,0,0,2,0,2,32,0,0,5439.8
0,0,0,0,0,3,0,2,32,0,0,4856.2
0,0,0,0,0,4,0,2,32,0,0,5319.8
0,0,0,0,0,1,0,3,32,0,0,2975.2
0,0,0,0,0,2,0,3,32,0,0,5399.8
0,0,0,0,0,3,0,3,32,0,0,4781.4
0,0,0,0,0,4,0,3,32,0,0,5162.6
0,0,0,0,0,1,0,4,32,0,0,2870.6
0,0,0,0,0,2,0,4,32,0,0,5318.4
0,0,0,0,0,3,0,4,32,0,0,4699.2
0,0,0,0,0,4,0,4,32,0,0,5075.2
0,0,0,0,0,1,0,1,64,0,0,3055.8
0,0,0,0,0,2,0,1,64,0,0,5578.6
